"Order method code","Retailer code","Product number",Date,Quantity,"Unit price","Unit sale price","Product line","Product type",Product,"Product brand","Product color","Unit cost","Unit price","Retailer name",Type,Country,"Order method type"
5,1201,113110,2015-05-11,811,12.81,12.3,"Golf Equipment","Golf Accessories","Course Pro Umbrella","Course Pro",Red,6.08,12.81,"The Marketplace","Department Store","United States",Web
5,1201,113110,2015-08-12,833,12.81,12.3,"Golf Equipment","Golf Accessories","Course Pro Umbrella","Course Pro",Red,6.08,12.81,"The Marketplace","Department Store","United States",Web
5,1201,113110,2015-11-12,874,12.81,12.3,"Golf Equipment","Golf Accessories","Course Pro Umbrella","Course Pro",Red,6.08,12.81,"The Marketplace","Department Store","United States",Web
4,1201,112110,2015-01-12,799,10.64,10.21,"Golf Equipment","Golf Accessories","Course Pro Golf and Tee Set","Course Pro",Multicolored,2.88,10.64,"The Marketplace","Department Store","United States",E-mail
4,1201,112110,2015-02-09,695,10.64,10.21,"Golf Equipment","Golf Accessories","Course Pro Golf and Tee Set","Course Pro",Multicolored,2.88,10.64,"The Marketplace","Department Store","United States",E-mail
5,1201,112110,2015-03-08,38,10.64,0,"Golf Equipment","Golf Accessories","Course Pro Golf and Tee Set","Course Pro",Multicolored,2.88,10.64,"The Marketplace","Department Store","United States",Web
5,1201,112110,2015-03-08,39,10.64,0,"Golf Equipment","Golf Accessories","Course Pro Golf and Tee Set","Course Pro",Multicolored,2.88,10.64,"The Marketplace","Department Store","United States",Web
4,1201,112110,2015-03-08,707,10.64,10.21,"Golf Equipment","Golf Accessories","Course Pro Golf and Tee Set","Course Pro",Multicolored,2.88,10.64,"The Marketplace","Department Store","United States",E-mail
5,1201,112110,2015-04-13,124,10.64,0,"Golf Equipment","Golf Accessories","Course Pro Golf and Tee Set","Course Pro",Multicolored,2.88,10.64,"The Marketplace","Department Store","United States",Web
5,1201,112110,2015-07-19,837,10.64,10.21,"Golf Equipment","Golf Accessories","Course Pro Golf and Tee Set","Course Pro",Multicolored,2.88,10.64,"The Marketplace","Department Store","United States",Web
5,1201,112110,2015-08-12,680,10.64,10.21,"Golf Equipment","Golf Accessories","Course Pro Golf and Tee Set","Course Pro",Multicolored,2.88,10.64,"The Marketplace","Department Store","United States",Web
5,1201,112110,2015-09-09,722,10.64,10.21,"Golf Equipment","Golf Accessories","Course Pro Golf and Tee Set","Course Pro",Multicolored,2.88,10.64,"The Marketplace","Department Store","United States",Web
5,1201,112110,2015-11-12,667,10.64,10.21,"Golf Equipment","Golf Accessories","Course Pro Golf and Tee Set","Course Pro",Multicolored,2.88,10.64,"The Marketplace","Department Store","United States",Web
4,1201,111110,2015-02-09,233,180.63,167.99,"Golf Equipment",Putters,"Blue Steel Max Putter","Blue Steel",Bronze,89.41,180.63,"The Marketplace","Department Store","United States",E-mail
5,1201,111110,2015-04-13,186,180.63,167.99,"Golf Equipment",Putters,"Blue Steel Max Putter","Blue Steel",Bronze,89.41,180.63,"The Marketplace","Department Store","United States",Web
5,1201,111110,2015-06-08,191,180.63,167.99,"Golf Equipment",Putters,"Blue Steel Max Putter","Blue Steel",Bronze,89.41,180.63,"The Marketplace","Department Store","United States",Web
5,1201,111110,2015-09-09,192,180.63,167.99,"Golf Equipment",Putters,"Blue Steel Max Putter","Blue Steel",Bronze,89.41,180.63,"The Marketplace","Department Store","United States",Web
5,1201,111110,2015-10-22,191,180.63,167.99,"Golf Equipment",Putters,"Blue Steel Max Putter","Blue Steel",Bronze,89.41,180.63,"The Marketplace","Department Store","United States",Web
4,1201,110110,2015-01-12,206,98.75,91.84,"Golf Equipment",Putters,"Blue Steel Putter","Blue Steel",Black,41.2,90.95,"The Marketplace","Department Store","United States",E-mail
4,1201,110110,2015-02-09,195,98.75,91.84,"Golf Equipment",Putters,"Blue Steel Putter","Blue Steel",Black,41.2,90.95,"The Marketplace","Department Store","United States",E-mail
5,1201,110110,2015-04-13,177,98.75,91.84,"Golf Equipment",Putters,"Blue Steel Putter","Blue Steel",Black,41.2,90.95,"The Marketplace","Department Store","United States",Web
5,1201,110110,2015-05-11,183,98.75,91.84,"Golf Equipment",Putters,"Blue Steel Putter","Blue Steel",Black,41.2,90.95,"The Marketplace","Department Store","United States",Web
5,1201,110110,2015-09-09,195,98.75,91.84,"Golf Equipment",Putters,"Blue Steel Putter","Blue Steel",Black,41.2,90.95,"The Marketplace","Department Store","United States",Web
5,1201,110110,2015-10-14,322,98.75,59.25,"Golf Equipment",Putters,"Blue Steel Putter","Blue Steel",Black,41.2,90.95,"The Marketplace","Department Store","United States",Web
5,1201,110110,2015-11-11,437,98.75,59.25,"Golf Equipment",Putters,"Blue Steel Putter","Blue Steel",Black,41.2,90.95,"The Marketplace","Department Store","United States",Web
4,1201,109110,2015-01-12,648,76.86,71.48,"Golf Equipment",Putters,"Course Pro Putter","Course Pro",Brass,31.12,74.96,"The Marketplace","Department Store","United States",E-mail
4,1201,109110,2015-02-09,571,76.86,71.48,"Golf Equipment",Putters,"Course Pro Putter","Course Pro",Brass,31.12,74.96,"The Marketplace","Department Store","United States",E-mail
5,1201,109110,2015-03-08,521,76.86,71.48,"Golf Equipment",Putters,"Course Pro Putter","Course Pro",Brass,31.12,74.96,"The Marketplace","Department Store","United States",Web
5,1201,109110,2015-04-13,563,76.86,71.48,"Golf Equipment",Putters,"Course Pro Putter","Course Pro",Brass,31.12,74.96,"The Marketplace","Department Store","United States",Web
5,1201,109110,2015-06-08,638,76.86,71.48,"Golf Equipment",Putters,"Course Pro Putter","Course Pro",Brass,31.12,74.96,"The Marketplace","Department Store","United States",Web
5,1201,109110,2015-08-12,641,76.86,71.48,"Golf Equipment",Putters,"Course Pro Putter","Course Pro",Brass,31.12,74.96,"The Marketplace","Department Store","United States",Web
5,1201,109110,2015-09-09,608,76.86,71.48,"Golf Equipment",Putters,"Course Pro Putter","Course Pro",Brass,31.12,74.96,"The Marketplace","Department Store","United States",Web
4,1201,108110,2015-01-12,34,910.82,847.06,"Golf Equipment",Woods,"Lady Hailstorm Steel Woods Set",Hailstorm,Mahogany,449.13,910.82,"The Marketplace","Department Store","United States",E-mail
4,1201,108110,2015-02-09,53,910.82,847.06,"Golf Equipment",Woods,"Lady Hailstorm Steel Woods Set",Hailstorm,Mahogany,449.13,910.82,"The Marketplace","Department Store","United States",E-mail
4,1201,108110,2015-03-08,48,910.82,847.06,"Golf Equipment",Woods,"Lady Hailstorm Steel Woods Set",Hailstorm,Mahogany,449.13,910.82,"The Marketplace","Department Store","United States",E-mail
5,1201,108110,2015-06-09,42,910.82,847.06,"Golf Equipment",Woods,"Lady Hailstorm Steel Woods Set",Hailstorm,Mahogany,449.13,910.82,"The Marketplace","Department Store","United States",Web
5,1201,108110,2015-07-13,51,910.82,847.06,"Golf Equipment",Woods,"Lady Hailstorm Steel Woods Set",Hailstorm,Mahogany,449.13,910.82,"The Marketplace","Department Store","United States",Web
5,1201,108110,2015-10-22,37,910.82,847.06,"Golf Equipment",Woods,"Lady Hailstorm Steel Woods Set",Hailstorm,Mahogany,449.13,910.82,"The Marketplace","Department Store","United States",Web
5,1201,108110,2015-11-12,42,910.82,847.06,"Golf Equipment",Woods,"Lady Hailstorm Steel Woods Set",Hailstorm,Mahogany,449.13,910.82,"The Marketplace","Department Store","United States",Web
4,1201,107110,2015-02-09,42,1359.72,1264.54,"Golf Equipment",Woods,"Lady Hailstorm Titanium Woods Set",Hailstorm,Bronze,637.81,1359.72,"The Marketplace","Department Store","United States",E-mail
4,1201,107110,2015-03-08,37,1359.72,1264.54,"Golf Equipment",Woods,"Lady Hailstorm Titanium Woods Set",Hailstorm,Bronze,637.81,1359.72,"The Marketplace","Department Store","United States",E-mail
5,1201,107110,2015-04-13,38,1359.72,1264.54,"Golf Equipment",Woods,"Lady Hailstorm Titanium Woods Set",Hailstorm,Bronze,637.81,1359.72,"The Marketplace","Department Store","United States",Web
5,1201,107110,2015-05-11,40,1359.72,1264.54,"Golf Equipment",Woods,"Lady Hailstorm Titanium Woods Set",Hailstorm,Bronze,637.81,1359.72,"The Marketplace","Department Store","United States",Web
5,1201,107110,2015-08-11,43,1359.72,1264.54,"Golf Equipment",Woods,"Lady Hailstorm Titanium Woods Set",Hailstorm,Bronze,637.81,1359.72,"The Marketplace","Department Store","United States",Web
5,1201,107110,2015-10-14,43,1359.72,1264.54,"Golf Equipment",Woods,"Lady Hailstorm Titanium Woods Set",Hailstorm,Bronze,637.81,1359.72,"The Marketplace","Department Store","United States",Web
4,1201,106110,2015-02-09,44,1161.46,1080.16,"Golf Equipment",Woods,"Hailstorm Steel Woods Set",Hailstorm,Mahogany,384.45,798.56,"The Marketplace","Department Store","United States",E-mail
5,1201,106110,2015-03-08,46,1161.46,1080.16,"Golf Equipment",Woods,"Hailstorm Steel Woods Set",Hailstorm,Mahogany,384.45,798.56,"The Marketplace","Department Store","United States",Web
5,1201,106110,2015-06-09,50,1161.46,1080.16,"Golf Equipment",Woods,"Hailstorm Steel Woods Set",Hailstorm,Mahogany,384.45,798.56,"The Marketplace","Department Store","United States",Web
5,1201,106110,2015-08-12,50,1161.46,1080.16,"Golf Equipment",Woods,"Hailstorm Steel Woods Set",Hailstorm,Mahogany,384.45,798.56,"The Marketplace","Department Store","United States",Web
5,1201,106110,2015-09-08,44,1161.46,1080.16,"Golf Equipment",Woods,"Hailstorm Steel Woods Set",Hailstorm,Mahogany,384.45,798.56,"The Marketplace","Department Store","United States",Web
4,1201,105110,2015-03-08,61,1271.08,1182.1,"Golf Equipment",Woods,"Hailstorm Titanium Woods Set",Hailstorm,Bronze,648.72,1271.08,"The Marketplace","Department Store","United States",E-mail
4,1201,105110,2015-04-13,67,1271.08,1182.1,"Golf Equipment",Woods,"Hailstorm Titanium Woods Set",Hailstorm,Bronze,648.72,1271.08,"The Marketplace","Department Store","United States",E-mail
5,1201,105110,2015-07-19,86,1271.08,1182.1,"Golf Equipment",Woods,"Hailstorm Titanium Woods Set",Hailstorm,Bronze,648.72,1271.08,"The Marketplace","Department Store","United States",Web
5,1201,105110,2015-10-22,61,1271.08,1182.1,"Golf Equipment",Woods,"Hailstorm Titanium Woods Set",Hailstorm,Bronze,648.72,1271.08,"The Marketplace","Department Store","United States",Web
5,1201,105110,2015-11-11,69,1271.08,1182.1,"Golf Equipment",Woods,"Hailstorm Titanium Woods Set",Hailstorm,Bronze,648.72,1271.08,"The Marketplace","Department Store","United States",Web
4,1201,104110,2015-01-12,67,889.02,826.79,"Golf Equipment",Irons,"Lady Hailstorm Titanium Irons",Hailstorm,Silver,441.97,889.02,"The Marketplace","Department Store","United States",E-mail
5,1201,104110,2015-05-11,68,889.02,826.79,"Golf Equipment",Irons,"Lady Hailstorm Titanium Irons",Hailstorm,Silver,441.97,889.02,"The Marketplace","Department Store","United States",Web
5,1201,104110,2015-06-08,65,889.02,826.79,"Golf Equipment",Irons,"Lady Hailstorm Titanium Irons",Hailstorm,Silver,441.97,889.02,"The Marketplace","Department Store","United States",Web
5,1201,104110,2015-07-19,82,889.02,826.79,"Golf Equipment",Irons,"Lady Hailstorm Titanium Irons",Hailstorm,Silver,441.97,889.02,"The Marketplace","Department Store","United States",Web
5,1201,104110,2015-09-08,74,889.02,826.79,"Golf Equipment",Irons,"Lady Hailstorm Titanium Irons",Hailstorm,Silver,441.97,889.02,"The Marketplace","Department Store","United States",Web
4,1201,103110,2015-01-12,84,532.75,495.46,"Golf Equipment",Irons,"Lady Hailstorm Steel Irons",Hailstorm,Silver,277.76,532.75,"The Marketplace","Department Store","United States",E-mail
4,1201,103110,2015-02-09,69,532.75,495.46,"Golf Equipment",Irons,"Lady Hailstorm Steel Irons",Hailstorm,Silver,277.76,532.75,"The Marketplace","Department Store","United States",E-mail
5,1201,103110,2015-03-08,64,532.75,495.46,"Golf Equipment",Irons,"Lady Hailstorm Steel Irons",Hailstorm,Silver,277.76,532.75,"The Marketplace","Department Store","United States",Web
5,1201,103110,2015-05-11,68,532.75,495.46,"Golf Equipment",Irons,"Lady Hailstorm Steel Irons",Hailstorm,Silver,277.76,532.75,"The Marketplace","Department Store","United States",Web
5,1201,103110,2015-07-19,81,532.75,495.46,"Golf Equipment",Irons,"Lady Hailstorm Steel Irons",Hailstorm,Silver,277.76,532.75,"The Marketplace","Department Store","United States",Web
5,1201,103110,2015-08-11,69,532.75,495.46,"Golf Equipment",Irons,"Lady Hailstorm Steel Irons",Hailstorm,Silver,277.76,532.75,"The Marketplace","Department Store","United States",Web
5,1201,103110,2015-09-09,66,532.75,495.46,"Golf Equipment",Irons,"Lady Hailstorm Steel Irons",Hailstorm,Silver,277.76,532.75,"The Marketplace","Department Store","United States",Web
5,1201,103110,2015-10-22,70,532.75,495.46,"Golf Equipment",Irons,"Lady Hailstorm Steel Irons",Hailstorm,Silver,277.76,532.75,"The Marketplace","Department Store","United States",Web
5,1201,103110,2015-11-12,63,532.75,495.46,"Golf Equipment",Irons,"Lady Hailstorm Steel Irons",Hailstorm,Silver,277.76,532.75,"The Marketplace","Department Store","United States",Web
4,1201,102110,2015-03-08,93,928.53,863.53,"Golf Equipment",Irons,"Hailstorm Titanium Irons",Hailstorm,Silver,466.57,928.53,"The Marketplace","Department Store","United States",E-mail
5,1201,102110,2015-07-19,108,928.53,863.53,"Golf Equipment",Irons,"Hailstorm Titanium Irons",Hailstorm,Silver,466.57,928.53,"The Marketplace","Department Store","United States",Web
5,1201,102110,2015-10-22,88,928.53,863.53,"Golf Equipment",Irons,"Hailstorm Titanium Irons",Hailstorm,Silver,466.57,928.53,"The Marketplace","Department Store","United States",Web
4,1201,101110,2015-02-09,88,630.25,586.13,"Golf Equipment",Irons,"Hailstorm Steel Irons",Hailstorm,Silver,239.71,498.45,"The Marketplace","Department Store","United States",E-mail
5,1201,101110,2015-05-11,76,630.25,586.13,"Golf Equipment",Irons,"Hailstorm Steel Irons",Hailstorm,Silver,239.71,498.45,"The Marketplace","Department Store","United States",Web
5,1201,101110,2015-06-09,89,630.25,586.13,"Golf Equipment",Irons,"Hailstorm Steel Irons",Hailstorm,Silver,239.71,498.45,"The Marketplace","Department Store","United States",Web
5,1201,101110,2015-08-12,89,630.25,586.13,"Golf Equipment",Irons,"Hailstorm Steel Irons",Hailstorm,Silver,239.71,498.45,"The Marketplace","Department Store","United States",Web
5,1201,101110,2015-10-14,168,630.25,441.18,"Golf Equipment",Irons,"Hailstorm Steel Irons",Hailstorm,Silver,239.71,498.45,"The Marketplace","Department Store","United States",Web
4,1201,97110,2015-01-12,416,35,33.6,"Outdoor Protection","First Aid","Deluxe Family Relief Kit",Relief,White,16.68,35,"The Marketplace","Department Store","United States",E-mail
4,1201,97110,2015-02-09,391,35,33.6,"Outdoor Protection","First Aid","Deluxe Family Relief Kit",Relief,White,16.68,35,"The Marketplace","Department Store","United States",E-mail
5,1201,97110,2015-04-13,341,35,33.6,"Outdoor Protection","First Aid","Deluxe Family Relief Kit",Relief,White,16.68,35,"The Marketplace","Department Store","United States",Web
5,1201,97110,2015-05-11,351,35,33.6,"Outdoor Protection","First Aid","Deluxe Family Relief Kit",Relief,White,16.68,35,"The Marketplace","Department Store","United States",Web
5,1201,97110,2015-06-09,360,35,33.6,"Outdoor Protection","First Aid","Deluxe Family Relief Kit",Relief,White,16.68,35,"The Marketplace","Department Store","United States",Web
5,1201,97110,2015-07-13,386,35,33.6,"Outdoor Protection","First Aid","Deluxe Family Relief Kit",Relief,White,16.68,35,"The Marketplace","Department Store","United States",Web
5,1201,97110,2015-08-12,371,35,33.6,"Outdoor Protection","First Aid","Deluxe Family Relief Kit",Relief,White,16.68,35,"The Marketplace","Department Store","United States",Web
5,1201,97110,2015-09-09,330,35,33.6,"Outdoor Protection","First Aid","Deluxe Family Relief Kit",Relief,White,16.68,35,"The Marketplace","Department Store","United States",Web
5,1201,97110,2015-11-12,402,35,31.5,"Outdoor Protection","First Aid","Deluxe Family Relief Kit",Relief,White,16.68,35,"The Marketplace","Department Store","United States",Web
4,1201,89110,2015-01-12,1730,7,6.65,"Outdoor Protection","Insect Repellents","BugShield Lotion",BugShield,Clear,2.33,7,"The Marketplace","Department Store","United States",E-mail
4,1201,89110,2015-02-09,1684,7,6.65,"Outdoor Protection","Insect Repellents","BugShield Lotion",BugShield,Clear,2.33,7,"The Marketplace","Department Store","United States",E-mail
5,1201,89110,2015-04-13,1429,7,6.72,"Outdoor Protection","Insect Repellents","BugShield Lotion",BugShield,Clear,2.33,7,"The Marketplace","Department Store","United States",Web
5,1201,89110,2015-06-09,1673,7,6.65,"Outdoor Protection","Insect Repellents","BugShield Lotion",BugShield,Clear,2.33,7,"The Marketplace","Department Store","United States",Web
5,1201,89110,2015-07-13,1744,7,6.65,"Outdoor Protection","Insect Repellents","BugShield Lotion",BugShield,Clear,2.33,7,"The Marketplace","Department Store","United States",Web
5,1201,89110,2015-08-12,1447,7,6.72,"Outdoor Protection","Insect Repellents","BugShield Lotion",BugShield,Clear,2.33,7,"The Marketplace","Department Store","United States",Web
5,1201,89110,2015-10-14,1437,7,6.72,"Outdoor Protection","Insect Repellents","BugShield Lotion",BugShield,Clear,2.33,7,"The Marketplace","Department Store","United States",Web
5,1201,89110,2015-11-12,1407,7,6.72,"Outdoor Protection","Insect Repellents","BugShield Lotion",BugShield,Clear,2.33,7,"The Marketplace","Department Store","United States",Web
4,1201,88110,2015-01-12,789,7,6.79,"Outdoor Protection","Insect Repellents","BugShield Lotion Lite",BugShield,Clear,1.88,7,"The Marketplace","Department Store","United States",E-mail
4,1201,88110,2015-02-09,833,7,6.79,"Outdoor Protection","Insect Repellents","BugShield Lotion Lite",BugShield,Clear,1.88,7,"The Marketplace","Department Store","United States",E-mail
5,1201,88110,2015-04-13,672,7,6.79,"Outdoor Protection","Insect Repellents","BugShield Lotion Lite",BugShield,Clear,1.88,7,"The Marketplace","Department Store","United States",Web
5,1201,88110,2015-05-11,723,7,6.79,"Outdoor Protection","Insect Repellents","BugShield Lotion Lite",BugShield,Clear,1.88,7,"The Marketplace","Department Store","United States",Web
5,1201,88110,2015-06-09,721,7,6.79,"Outdoor Protection","Insect Repellents","BugShield Lotion Lite",BugShield,Clear,1.88,7,"The Marketplace","Department Store","United States",Web
5,1201,88110,2015-08-12,729,7,6.79,"Outdoor Protection","Insect Repellents","BugShield Lotion Lite",BugShield,Clear,1.88,7,"The Marketplace","Department Store","United States",Web
4,1201,64110,2015-01-12,128,41.61,39.95,"Personal Accessories",Watches,"Mountain Man Digital","Mountain Man",Blue,20,41.61,"The Marketplace","Department Store","United States",E-mail
5,1201,64110,2015-04-13,109,41.61,39.95,"Personal Accessories",Watches,"Mountain Man Digital","Mountain Man",Blue,20,41.61,"The Marketplace","Department Store","United States",Web
5,1201,64110,2015-05-11,105,41.61,39.95,"Personal Accessories",Watches,"Mountain Man Digital","Mountain Man",Blue,20,41.61,"The Marketplace","Department Store","United States",Web
5,1201,64110,2015-08-12,121,41.61,39.95,"Personal Accessories",Watches,"Mountain Man Digital","Mountain Man",Blue,20,41.61,"The Marketplace","Department Store","United States",Web
5,1201,64110,2015-10-14,96,41.61,40.36,"Personal Accessories",Watches,"Mountain Man Digital","Mountain Man",Blue,20,41.61,"The Marketplace","Department Store","United States",Web
5,1201,64110,2015-11-12,115,41.61,39.95,"Personal Accessories",Watches,"Mountain Man Digital","Mountain Man",Blue,20,41.61,"The Marketplace","Department Store","United States",Web
4,1201,40110,2015-02-09,802,27.81,26.7,"Camping Equipment",Lanterns,"EverGlow Lamp",EverGlow,Black,14.76,27.81,"The Marketplace","Department Store","United States",E-mail
5,1201,40110,2015-03-08,706,27.81,26.7,"Camping Equipment",Lanterns,"EverGlow Lamp",EverGlow,Black,14.76,27.81,"The Marketplace","Department Store","United States",Web
5,1201,40110,2015-05-11,826,27.81,26.7,"Camping Equipment",Lanterns,"EverGlow Lamp",EverGlow,Black,14.76,27.81,"The Marketplace","Department Store","United States",Web
5,1201,40110,2015-06-09,1076,27.81,22.25,"Camping Equipment",Lanterns,"EverGlow Lamp",EverGlow,Black,14.76,27.81,"The Marketplace","Department Store","United States",Web
5,1201,40110,2015-08-12,1157,27.81,22.25,"Camping Equipment",Lanterns,"EverGlow Lamp",EverGlow,Black,14.76,27.81,"The Marketplace","Department Store","United States",Web
5,1201,40110,2015-09-09,735,27.81,26.7,"Camping Equipment",Lanterns,"EverGlow Lamp",EverGlow,Black,14.76,27.81,"The Marketplace","Department Store","United States",Web
5,1201,40110,2015-11-12,715,27.81,26.7,"Camping Equipment",Lanterns,"EverGlow Lamp",EverGlow,Black,14.76,27.81,"The Marketplace","Department Store","United States",Web
4,1201,39110,2015-01-12,126,67.73,62.99,"Camping Equipment",Lanterns,"EverGlow Butane",EverGlow,Blue,40.63,67.73,"The Marketplace","Department Store","United States",E-mail
4,1201,39110,2015-02-09,100,67.73,62.99,"Camping Equipment",Lanterns,"EverGlow Butane",EverGlow,Blue,40.63,67.73,"The Marketplace","Department Store","United States",E-mail
5,1201,39110,2015-03-08,95,67.73,62.99,"Camping Equipment",Lanterns,"EverGlow Butane",EverGlow,Blue,40.63,67.73,"The Marketplace","Department Store","United States",Web
5,1201,39110,2015-05-11,113,67.73,62.99,"Camping Equipment",Lanterns,"EverGlow Butane",EverGlow,Blue,40.63,67.73,"The Marketplace","Department Store","United States",Web
5,1201,39110,2015-08-12,100,67.73,62.99,"Camping Equipment",Lanterns,"EverGlow Butane",EverGlow,Blue,40.63,67.73,"The Marketplace","Department Store","United States",Web
5,1201,39110,2015-11-12,111,67.73,62.99,"Camping Equipment",Lanterns,"EverGlow Butane",EverGlow,Blue,40.63,67.73,"The Marketplace","Department Store","United States",Web
5,1201,37110,2015-04-13,42,52.15,52.15,"Camping Equipment",Lanterns,"EverGlow Double",EverGlow,Black,28.75,52.15,"The Marketplace","Department Store","United States",Web
5,1201,37110,2015-06-09,45,52.15,52.15,"Camping Equipment",Lanterns,"EverGlow Double",EverGlow,Black,28.75,52.15,"The Marketplace","Department Store","United States",Web
5,1201,37110,2015-08-12,44,52.15,52.15,"Camping Equipment",Lanterns,"EverGlow Double",EverGlow,Black,28.75,52.15,"The Marketplace","Department Store","United States",Web
5,1201,37110,2015-09-09,44,52.15,52.15,"Camping Equipment",Lanterns,"EverGlow Double",EverGlow,Black,28.75,52.15,"The Marketplace","Department Store","United States",Web
5,1201,37110,2015-10-14,45,52.15,52.15,"Camping Equipment",Lanterns,"EverGlow Double",EverGlow,Black,28.75,52.15,"The Marketplace","Department Store","United States",Web
5,1201,37110,2015-11-12,49,52.15,52.15,"Camping Equipment",Lanterns,"EverGlow Double",EverGlow,Black,28.75,52.15,"The Marketplace","Department Store","United States",Web
4,1201,32110,2015-01-12,524,27.37,26.28,"Camping Equipment",Lanterns,"Firefly 2",Firefly,Silver,16.38,27.37,"The Marketplace","Department Store","United States",E-mail
4,1201,32110,2015-02-09,506,27.37,26.28,"Camping Equipment",Lanterns,"Firefly 2",Firefly,Silver,16.38,27.37,"The Marketplace","Department Store","United States",E-mail
5,1201,32110,2015-03-08,820,27.37,16.42,"Camping Equipment",Lanterns,"Firefly 2",Firefly,Silver,16.38,27.37,"The Marketplace","Department Store","United States",Web
5,1201,32110,2015-04-13,774,27.37,16.42,"Camping Equipment",Lanterns,"Firefly 2",Firefly,Silver,16.38,27.37,"The Marketplace","Department Store","United States",Web
5,1201,32110,2015-06-09,448,27.37,26.55,"Camping Equipment",Lanterns,"Firefly 2",Firefly,Silver,16.38,27.37,"The Marketplace","Department Store","United States",Web
5,1201,32110,2015-07-13,628,27.37,26.28,"Camping Equipment",Lanterns,"Firefly 2",Firefly,Silver,16.38,27.37,"The Marketplace","Department Store","United States",Web
5,1201,32110,2015-09-09,474,27.37,26.55,"Camping Equipment",Lanterns,"Firefly 2",Firefly,Silver,16.38,27.37,"The Marketplace","Department Store","United States",Web
5,1201,32110,2015-11-12,439,27.37,26.55,"Camping Equipment",Lanterns,"Firefly 2",Firefly,Silver,16.38,27.37,"The Marketplace","Department Store","United States",Web
4,1201,31110,2015-02-09,731,16.29,15.64,"Camping Equipment",Lanterns,"Firefly Mapreader",Firefly,Yellow,7.5,16.29,"The Marketplace","Department Store","United States",E-mail
5,1201,31110,2015-04-13,628,16.29,15.64,"Camping Equipment",Lanterns,"Firefly Mapreader",Firefly,Yellow,7.5,16.29,"The Marketplace","Department Store","United States",Web
5,1201,31110,2015-05-11,623,16.29,15.64,"Camping Equipment",Lanterns,"Firefly Mapreader",Firefly,Yellow,7.5,16.29,"The Marketplace","Department Store","United States",Web
